rank,status,name,team,games played,goals,assists,points,plus/minus,penalty minutes,power play goals,power play assists,short handed goals,shots,short handed assists,game winning goals,first goals,insurance goals,overtime goals,unassisted goals,empty net,shooting percentage,shootout goals,shots in shootouts,shootout winning goals,shootout percentage,jersey number,position,shoots,date of birth,hometown,hometown location,home country,age
24,,Ella Shelton,NY,13,5,4,9,-4,4,2,2,0,23,0,0,1,0,0,0,0,21.7,0,1,0,0.0,17,defense,left,1998-01-19,Ingersoll,ON,CAN,27
25,rookie,Hannah Bilka,BOS,13,4,5,9,-4,6,2,3,0,31,0,0,1,0,0,0,0,12.9,1,1,1,100.0,19,forward,left,2001-03-24,Coppell,TX,USA,23
26,,Emily Clark,OTT,17,4,5,9,0,6,0,1,0,51,0,1,2,0,0,1,0,7.8,0,0,0,0.0,26,forward,left,1995-11-28,Saskatoon,SK,CAN,29
27,,Abby Roque,NY,18,3,6,9,-8,2,1,3,0,48,0,0,0,0,0,0,0,6.3,0,2,0,0.0,11,forward,right,1997-09-25,Sault Ste. Marie,MI,USA,27
28,,Blayre Turnbull,TOR,19,5,3,8,0,10,1,2,0,53,0,1,1,1,0,3,0,9.4,0,0,0,0.0,40,forward,right,1993-07-15,Stellarton,NS,CAN,31
29,rookie,Julia Gosling,TOR,19,4,4,8,5,4,4,2,0,39,0,1,1,0,0,0,0,10.3,1,1,0,100.0,88,forward,left,2001-02-21,London,ON,CAN,23
30,,Jincy Roese,OTT,14,2,6,8,-1,4,1,1,0,22,0,1,0,0,0,1,0,9.1,0,0,0,0.0,71,defense,left,1997-05-15,O'Fallon,MO,USA,27
31,,Kelly Pannek,MIN,19,2,6,8,1,10,1,0,0,34,0,0,0,0,0,0,0,5.9,0,0,0,0.0,12,forward,right,1995-12-29,Plymouth,MN,USA,29
32,rookie,Cayla Barnes,MTL,16,1,7,8,-3,2,0,5,0,21,0,0,0,0,0,0,0,4.8,0,0,0,0.0,3,defense,right,1999-01-07,Corona,CA,USA,26
33,,Laura Stacey,MTL,13,4,3,7,3,4,2,0,0,47,0,1,1,0,1,1,0,8.5,1,3,0,33.3,7,forward,right,1994-05-05,Kleinburg,ON,CAN,30
34,,Shiann Darkangelo,OTT,17,4,3,7,4,6,0,1,0,26,0,1,0,0,0,1,0,15.4,0,0,0,0.0,27,forward,left,1993-11-28,Brighton,MI,USA,31
35,,Claire Dalton,MTL,16,3,4,7,3,2,0,0,0,30,1,0,1,0,0,0,0,10.0,0,0,0,0.0,42,forward,right,2000-03-20,Toronto,ON,CAN,24
36,,Mikyla Grant-Mentis,MTL,16,3,4,7,7,12,0,0,0,21,0,1,1,0,0,0,0,14.3,0,2,0,0.0,18,forward,left,1998-07-15,Brampton,ON,CAN,26
37,,Gabbie Hughes,OTT,16,3,4,7,-1,10,1,1,1,24,0,0,1,0,0,0,0,12.5,0,0,0,0.0,17,forward,left,1999-10-04,Lino Lakes,MN,USA,25
38,,Brianne Jenner,OTT,15,2,5,7,-1,6,1,0,0,40,0,1,1,0,0,0,0,5.0,0,0,0,0.0,19,forward,right,1991-05-04,Oakville,ON,CAN,33
39,,Hannah Brandt,BOS,17,1,6,7,4,8,0,0,0,15,0,1,0,0,0,0,0,6.7,1,1,0,100.0,20,forward,right,1993-11-27,Vadnais Heights,MN,USA,31
40,,Micah Zandee-Hart,NY,18,1,6,7,-6,10,1,3,0,32,0,1,0,0,0,0,0,3.1,0,0,0,0.0,28,defense,left,1997-01-13,Saanichton,BC,CAN,28
41,rookie,Brooke McQuigge,MIN,18,5,1,6,-1,2,1,1,0,22,0,0,0,0,0,0,0,22.7,0,1,0,0.0,3,forward,left,2000-06-09,Bowmanville,ON,CAN,24
42,,Emma Maltais,TOR,19,3,3,6,-1,10,0,2,0,27,0,0,1,2,0,2,2,11.1,0,0,0,0.0,27,forward,left,1999-11-04,Burlington,ON,CAN,25
43,,Kateřina Mrázová,OTT,11,2,4,6,-3,6,0,1,0,13,0,0,0,1,0,0,0,15.4,0,2,0,0.0,16,forward,left,1992-10-19,Kolín,CZE,CZE,32
44,rookie,Izzy Daniel,TOR,19,2,4,6,-5,6,0,1,0,24,0,0,0,0,0,0,0,8.3,0,2,0,0.0,8,forward,right,2000-09-29,Minneapolis,MN,USA,24
45,,Ronja Savolainen,OTT,15,1,5,6,7,12,0,0,0,27,1,0,1,0,0,1,0,3.7,0,0,0,0.0,88,defense,left,1997-11-29,Helsinki,FIN,FIN,27
46,,Mellissa Channell-Watkins,MIN,18,1,5,6,0,0,0,0,0,17,0,0,0,0,0,0,0,5.9,0,0,0,0.0,23,defense,left,1994-12-16,Plymouth,MI,USA,30
47,rookie,Shay Maloney,BOS,17,3,2,5,4,4,0,0,0,23,0,0,0,1,0,0,0,13.0,0,0,0,0.0,27,forward,right,1999-08-31,McHenry,IL,USA,25
48,,Jamie Lee Rattray,BOS,17,3,2,5,-2,6,0,0,0,21,0,0,1,1,0,1,0,14.3,0,0,0,0.0,47,forward,left,1992-09-30,Kanata,ON,CAN,32
49,,Denisa Křížová,MIN,19,3,2,5,1,6,0,1,0,34,0,0,0,0,0,0,1,8.8,1,1,0,100.0,41,forward,left,1994-11-03,Horní Cerekev,CZE,CZE,30
50,rookie,Danielle Serdachny,OTT,17,2,3,5,-1,6,0,0,0,29,0,0,0,0,0,0,0,6.9,0,1,0,0.0,92,forward,right,2001-05-12,Edmonton,AB,CAN,23
51,,Kali Flanagan,TOR,19,2,3,5,0,4,0,0,0,31,0,0,0,2,0,2,2,6.5,0,0,0,0.0,6,defense,right,1995-09-19,Burlington,MA,USA,29
52,,Aneta Tejralová,OTT,17,1,4,5,5,8,0,2,0,16,0,0,0,0,0,0,0,6.3,0,0,0,0.0,2,defense,left,1996-01-04,Prague,CZE,CZE,29
53,rookie,Maja Nylen Persson,NY,18,1,4,5,3,2,0,1,0,17,0,0,0,0,0,0,0,5.9,0,0,0,0.0,8,defense,right,2000-10-31,Skogsbo,SWE,SWE,24
54,,Jocelyne Larocque,OTT,17,0,5,5,-1,12,0,1,0,21,0,0,0,0,0,0,0,0.0,0,0,0,0.0,23,defense,left,1988-05-19,Ste. Anne,MB,CAN,36
55,rookie,Mannon McMahon,OTT,17,4,0,4,1,4,1,0,0,20,0,0,3,0,0,1,0,20.0,0,0,0,0.0,18,forward,right,2001-07-29,Maple Grove,MN,USA,23
56,rookie,Dominique Petrie,MIN,8,3,1,4,1,0,1,0,0,17,0,1,0,0,0,0,0,17.6,0,0,0,0.0,14,forward,right,2001-01-21,Hermosa Beach,CA,USA,24
57,,Grace Zumwinkle,MIN,11,3,1,4,-8,0,1,1,0,26,0,1,1,0,0,0,1,11.5,1,1,0,100.0,13,forward,right,1999-04-23,Excelsior,MN,USA,25
58,rookie,Lina Ljungblom,MTL,15,3,1,4,-1,4,0,0,0,27,0,0,1,1,0,0,0,11.1,0,0,0,0.0,25,forward,left,2001-10-15,Skövde,SWE,SWE,23
59,,Mariah Keopple,MTL,16,3,1,4,4,4,0,0,0,17,0,1,0,0,0,0,0,17.6,0,0,0,0.0,2,defense,right,2000-06-27,Menomonie,WI,USA,24
60,,Emma Woods,TOR,19,3,1,4,3,6,0,0,0,20,0,2,0,0,0,0,0,15.0,0,0,0,0.0,67,forward,right,1995-12-18,Burford,ON,CAN,29
61,,Catherine Dubois,MTL,12,2,2,4,1,23,1,1,0,12,0,0,2,0,0,0,0,16.7,0,0,0,0.0,28,forward,left,1995-07-29,Charlesbourg,QC,CAN,29
62,,Victoria Bach,OTT,17,2,2,4,1,2,0,1,0,27,0,0,1,0,0,0,0,7.4,0,0,0,0.0,12,forward,left,1996-07-12,Milton,ON,CAN,28
63,,Sidney Morin,BOS,17,2,2,4,3,4,0,0,0,30,0,1,0,0,1,0,0,6.7,0,0,0,0.0,7,defense,right,1995-06-06,Minnetonka,MN,USA,29
64,,Chloe Aurard,NY,18,2,2,4,-2,2,0,0,0,13,0,1,1,0,0,0,0,15.4,0,0,0,0.0,12,forward,left,1999-03-15,Villard-de-Lans,FRA,FRA,25
65,,Paetyn Levis,NY,18,2,2,4,-3,4,0,0,0,19,0,0,1,0,0,1,0,10.5,0,0,0,0.0,19,forward,right,1999-11-06,Rogers,MN,USA,25
66,,Claire Butorac,MIN,19,2,2,4,0,6,0,0,0,11,0,0,2,0,0,0,0,18.2,0,0,0,0.0,7,forward,right,1999-09-24,Andover,MN,USA,25
67,,Alexandra Labelle,MTL,16,1,3,4,4,2,0,0,0,27,0,0,0,0,0,1,0,3.7,0,0,0,0.0,13,forward,left,1996-02-27,"Saint-Louis-de-Gonzague,",,,28
68,,Kristin O'Neill,MTL,16,1,3,4,-8,12,0,1,1,21,0,1,0,0,0,0,0,4.8,0,0,0,0.0,43,forward,left,1998-03-30,Oakville,ON,CAN,26
69,rookie,Allyson Simpson,NY,18,1,3,4,-9,4,0,0,0,27,0,0,0,0,0,0,0,3.7,0,0,0,0.0,20,defense,right,2000-12-20,Frisco,TX,USA,24
70,,Brooke Bryant,MIN,19,1,3,4,-1,6,0,0,0,10,0,0,0,0,0,0,0,10.0,0,0,0,0.0,17,forward,right,2000-08-22,Linden,CA,USA,24
71,,Amanda Boulier,MTL,11,0,4,4,4,2,0,0,0,6,0,0,0,0,0,0,0,0.0,0,0,0,0.0,44,defense,right,1993-03-30,Watertown,CT,USA,31
72,rookie,Elle Hartje,NY,15,0,4,4,-6,2,0,0,0,16,0,0,0,0,0,0,0,0.0,0,0,0,0.0,13,forward,left,2001-04-13,Detroit,MI,USA,23
73,,Sophie Shirley,BOS,17,0,4,4,3,27,0,1,0,12,0,0,0,0,0,0,0,0.0,0,0,0,0.0,9,forward,right,1999-06-30,Saskatoon,SK,CAN,25
74,,Lee Stecklein,MIN,19,0,4,4,-2,6,0,1,0,23,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2,defense,left,1994-04-23,Roseville,MN,USA,30
75,,Maureen Murphy,MTL,14,2,1,3,-2,8,0,0,0,18,0,0,0,0,0,0,0,11.1,0,1,0,0.0,21,forward,right,1999-12-15,Buffalo,NY,USA,25
76,,Ashton Bell,OTT,16,1,2,3,-2,0,0,0,0,14,0,0,0,0,0,0,0,7.1,0,0,0,0.0,21,defense,right,1999-12-07,Deloraine,MB,CAN,25
77,,Kati Tabin,MTL,16,1,2,3,0,6,1,1,0,22,0,1,0,0,0,0,0,4.5,0,0,0,0.0,9,defense,left,1997-04-21,Winnipeg,MB,CAN,27
78,rookie,Anna Wilgren,MTL,16,1,2,3,6,4,0,0,0,16,0,0,0,1,0,0,0,6.3,0,0,0,0.0,5,defense,left,1999-11-10,Hudson,WI,USA,25
79,rookie,Sydney Bard,BOS,17,1,2,3,-2,8,1,1,0,12,0,0,0,0,0,0,0,8.3,0,0,0,0.0,15,defense,right,2001-01-15,New Hartford,NY,USA,24
80,,Liz Schepers,MIN,18,1,2,3,-1,0,0,0,0,17,0,1,1,0,0,0,0,5.9,0,0,0,0.0,21,forward,left,1999-02-13,Mound,MN,USA,26
81,rookie,Stephanie Markowski,OTT,16,0,3,3,4,6,0,0,0,7,0,0,0,0,0,0,0,0.0,0,0,0,0.0,6,defense,right,2001-08-24,Edmonton,AB,CAN,23
82,rookie,Daniela Pejsova,BOS,16,0,3,3,-3,4,0,0,0,10,0,0,0,0,0,0,0,0.0,0,0,0,0.0,55,defense,left,2002-08-14,Teplice,CZE,CZE,22
83,rookie,Mae Batherson,MIN,17,0,3,3,7,6,0,0,0,13,0,0,0,0,0,0,0,0.0,0,0,0,0.0,9,defense,left,2000-12-05,New Minas,NS,CAN,24
84,,Jessica Digirolamo,BOS,17,0,3,3,0,4,0,0,0,21,0,0,0,0,0,0,0,0.0,0,0,0,0.0,22,defense,left,1999-02-13,Mississauga,ON,CAN,26
85,,Jill Saulnier,BOS,12,1,1,2,1,2,0,0,0,9,0,0,0,0,0,0,0,11.1,0,0,0,0.0,44,forward,left,1992-03-07,Halifax,NS,CAN,32
86,rookie,Katy Knoll,MIN,13,1,1,2,-1,4,0,0,0,8,0,0,0,1,0,0,0,12.5,0,0,0,0.0,6,forward,right,2001-01-16,Amherst,NY,USA,24
87,,Emily Brown,BOS,17,1,1,2,3,12,0,0,0,11,0,1,0,0,0,0,0,9.1,0,0,0,0.0,2,defense,left,1998-12-30,Blaine,MN,USA,26
88,,Maggie Flaherty,MIN,17,1,1,2,-1,12,0,0,0,21,0,1,0,0,0,1,0,4.8,0,0,0,0.0,19,defense,left,2000-06-02,Lakeville,MN,USA,24
89,rookie,Gabby Rosenthal,NY,17,1,1,2,0,6,0,0,0,21,0,0,0,0,0,0,0,4.8,0,0,0,0.0,15,forward,right,1999-09-13,Blaine,MN,USA,25
90,,Jaime Bourbonnais,NY,18,1,1,2,-5,14,1,0,0,26,0,0,0,1,0,0,0,3.8,0,0,0,0.0,14,defense,right,1998-09-09,Mississauga,ON,CAN,26
91,,Jade Downie-Landry,NY,18,1,1,2,-4,16,0,0,1,27,0,0,0,1,0,1,1,3.7,0,0,0,0.0,27,forward,left,1995-10-03,"Saint-Jean-sur-Richelieu,",,,29
92,,Elizabeth Giguère,NY,18,1,1,2,-5,4,0,1,0,27,0,0,0,0,0,0,0,3.7,0,1,0,0.0,18,forward,right,1997-05-08,Quebec City,QC,CAN,27
93,,Noora Tulus,NY,18,1,1,2,-8,6,0,0,0,25,0,0,1,0,0,0,0,4.0,1,3,0,33.3,40,forward,right,1995-08-15,Vantaa,FIN,FIN,29
94,,Alexa Vasko,OTT,11,0,2,2,3,4,0,0,0,8,0,0,0,0,0,0,0,0.0,0,0,0,0.0,10,forward,left,1999-02-07,St. Catharines,ON,CAN,26
95,,Zoe Boyd,OTT,12,0,2,2,-1,8,0,0,0,7,0,0,0,0,0,0,0,0.0,0,0,0,0.0,3,defense,left,2000-08-09,Caledon East,ON,CAN,24
96,,Emma Greco,BOS,15,0,2,2,1,4,0,0,0,13,0,0,0,0,0,0,0,0.0,0,0,0,0.0,25,defense,left,1995-03-06,Burlington,ON,CAN,29
97,,Amanda Pelkey,BOS,15,0,2,2,-3,8,0,1,0,15,0,0,0,0,0,0,0,0.0,0,0,0,0.0,16,forward,right,1993-05-29,Montpelier,VT,USA,31
98,,Rebecca Leslie,OTT,17,0,2,2,-3,2,0,0,0,18,0,0,0,0,0,0,0,0.0,0,0,0,0.0,37,forward,right,1996-05-08,Ottawa,ON,CAN,28
99,,Theresa Schafzahl,BOS,17,0,2,2,1,2,0,0,0,18,0,0,0,0,0,0,0,0.0,0,0,0,0.0,37,forward,left,2000-04-12,Weiz,AUT,AUT,24
100,rookie,Rylind MacKinnon,TOR,18,0,2,2,-1,27,0,0,0,12,1,0,0,0,0,0,0,0.0,0,0,0,0.0,55,defense,left,2000-03-05,Cranbrook,BC,CAN,24
101,,Savannah Harmon,TOR,19,0,2,2,-4,0,0,2,0,27,0,0,0,0,0,0,0,0.0,0,0,0,0.0,15,defense,left,1995-10-27,Downers Grove,IL,USA,29
102,,Jessica Kondas,TOR,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,100.0,0,0,0,0.0,2,defense,right,2000-01-03,Calgary,AB,CAN,25
103,,Loren Gabel,BOS,9,1,0,1,-4,0,1,0,0,6,0,0,0,0,0,0,0,16.7,0,0,0,0.0,36,forward,left,1997-07-24,Kitchener,ON,CAN,27
104,,Anna Meixner,OTT,15,1,0,1,2,0,0,0,0,12,0,0,1,0,0,0,0,8.3,0,0,0,0.0,94,forward,left,1994-06-16,Zell Am See,AUT,AUT,30
105,,Brooke Hobson,NY,17,1,0,1,-5,6,0,0,0,11,0,0,0,0,0,0,0,9.1,0,0,0,0.0,6,defense,left,1999-05-27,Prince Albert,SK,CAN,25
106,rookie,Emmy Fecteau,NY,18,1,0,1,-6,4,0,0,0,20,0,0,0,0,0,0,0,5.0,0,0,0,0.0,29,forward,left,1999-04-07,Saint-Odilon-de-Cranbourn,,,25
107,,Maggie Connors,TOR,19,1,0,1,-6,6,0,0,0,19,0,0,0,0,0,0,0,5.3,0,0,0,0.0,22,forward,left,2000-10-22,St. John's,NL,CAN,24
108,,Natalie Spooner,TOR,3,0,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0.0,0,0,0,0.0,24,forward,right,1990-10-17,Scarborough,ON,CAN,34
109,rookie,Kayle Osborne,NY,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,82,goalie,left,2002-02-28,Westport,ON,CAN,22
110,,Natalie Buchbinder,MIN,9,0,1,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0.0,0,0,0,0.0,22,defense,right,1999-01-22,Fairport,NY,USA,26
111,,Taylor Girard,NY,13,0,1,1,-2,6,0,0,0,7,0,0,0,0,0,0,0,0.0,0,0,0,0.0,71,forward,left,1998-07-17,Macomb,MI,USA,26
112,,Anna Kjellbin,MTL,14,0,1,1,-4,4,0,0,0,12,0,0,0,0,0,0,0,0.0,0,0,0,0.0,71,defense,right,1994-03-16,Göteberg,SWE,SWE,30
113,rookie,Lauren Bernard,TOR,15,0,1,1,-2,2,0,0,0,4,0,0,0,0,0,0,0,0.0,0,0,0,0.0,19,defense,left,2001-07-15,Madison,OH,USA,23
114,,Clair Degeorge,MTL,15,0,1,1,3,0,0,0,0,6,0,0,0,0,0,0,0,0.0,0,0,0,0.0,26,forward,left,1999-06-07,Anchorage,AK,USA,25
115,rookie,Dara Greig,MTL,15,0,1,1,-2,8,0,0,0,9,0,0,0,0,0,0,0,0.0,0,0,0,0.0,17,forward,left,2000-12-30,Camden,NJ,USA,24
116,,Lexie Adzija,BOS,17,0,1,1,-7,0,0,1,0,18,0,0,0,0,0,0,0,0.0,0,0,0,0.0,88,forward,left,2000-06-30,St. Thomas,ON,CAN,24
117,rookie,Klara Hymlarova,MIN,18,0,1,1,-1,2,0,1,0,14,0,0,0,0,0,0,0,0.0,0,0,0,0.0,71,forward,left,1999-02-27,Opava,CZE,CZE,25
118,,Allie Munroe,TOR,19,0,1,1,-2,6,0,0,0,11,0,0,0,0,0,0,0,0.0,0,0,0,0.0,12,defense,left,1997-04-20,Yarmouth,NS,CAN,27
119,,Jessica Adolfsson,OTT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,9,defense,left,1998-07-15,Linköping,SWE,SWE,26
120,,Catherine Daoust,MTL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,4,defense,right,1995-02-21,L’Île-Bizard,QC,CAN,29
121,,Gabrielle David,MTL,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,8,forward,right,1999-06-22,Drummondville,QC,CAN,25
122,,Abigail Levy,NY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,39,goalie,left,2000-04-02,Congers,NY,USA,24
123,rookie,Lucy Morgan,MIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,32,goalie,right,2001-08-18,Mandan,ND,USA,23
124,rookie,Kelly Ann Nadeau,MTL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,51,defense,right,1998-03-30,Mont-Laurier,QC,CAN,26
125,,Klara Peslarova,BOS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,29,goalie,left,1996-11-23,Ostrava,CZE,CZE,28
126,rookie,Charlotte Akervik,MIN,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,8,defense,right,2001-02-17,Eau Claire,WI,USA,24
127,,Laura Kluge,TOR,2,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0.0,25,forward,left,1996-11-06,Berlin,GER,GER,28
128,,Kelly Babstock,BOS,3,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,8,forward,right,1992-08-04,Mississauga,ON,CAN,32
129,,Taylor Baker,NY,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,4,defense,right,1997-07-30,Toronto,ON,CAN,27
130,,Jillian Dempsey,BOS,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,14,forward,left,1991-01-19,Winthrop,MA,USA,34
131,,Samantha Isbell,OTT,3,0,0,0,-1,2,0,0,0,4,0,0,0,0,0,0,0,0.0,0,0,0,0.0,5,defense,left,1998-02-17,Thunder Bay,ON,CAN,27
132,rookie,Anneke Rankila,TOR,3,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,13,forward,right,1999-11-10,Lino Lakes,MN,USA,25
133,rookie,Gwyneth Philips,OTT,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,33,goalie,right,2000-09-17,Athens,OH,USA,24
134,,Emma Söderberg,BOS,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,30,goalie,left,1998-02-18,Örksköldsvik,SWE,SWE,27
135,,Elaine Chuli,MTL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,20,goalie,left,1994-05-16,Waterford,ON,CAN,30
136,,Nicole Hensley,MIN,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,29,goalie,left,1994-06-23,Lakewood,CO,USA,30
137,,Taylor House,OTT,6,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,22,forward,left,1998-09-29,Joliet,IL,USA,26
138,rookie,Megan Carter,TOR,8,0,0,0,2,4,0,0,0,9,0,0,0,0,0,0,0,0.0,0,0,0,0.0,23,defense,left,2001-05-23,Milton,ON,CAN,23
139,,Olivia Knowles,NY,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,7,defense,right,1999-01-24,Campbell River,BC,CAN,26
140,,Kayla Vespa,NY,8,0,0,0,-2,0,0,0,0,4,0,0,0,0,0,0,0,0.0,0,0,0,0.0,81,forward,left,1997-04-01,Hamilton,ON,CAN,27
